author,genre,pages,publisher,rating,title,votes,year
Markus Zusak,Historical,552,Alfred A. Knopf,4.38,The Book Thief,2168076,2006
George Orwell,Classics,141,Signet Classics,3.97,Animal Farm,3256100,1996
J.K. Rowling,Fantasy,870,Scholastic Inc.,4.50,Harry Potter and the Order of the Phoenix,2924950,2004
Harper Lee,Fiction,336,Harper Perennial Modern Classics,4.27,To Kill a Mockingbird,5254934,2006
C.S. Lewis,Fantasy,767,HarperCollins,4.26,The Chronicles of Narnia,585073,2014
Stephenie Meyer,Fantasy,498,"Little, Brown and Company",3.63,Twilight,5725315,2006
Jane Austen,Classics,279,Modern Library,4.28,Pride and Prejudice,3591183,2000
J.R.R. Tolkien,Fantasy,1728,Ballantine Books,4.60,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,122113,2012
Suzanne Collins,Young Adult,374,Scholastic Press,4.32,The Hunger Games,7358336,2008
Shel Silverstein,Childrens,64,HarperCollins Publishers,4.37,The Giving Tree,1015090,1964
John Green,Young Adult,313,Dutton Books,4.17,The Fault in Our Stars,4308535,2012
Emily Brontë,Classics,464,Norton,3.88,Wuthering Heights,1555976,2002
Margaret Mitchell,Classics,1037,Warner Books,4.30,Gone with the Wind,1147860,1999
Dan Brown,Fiction,489,Anchor,3.89,The Da Vinci Code,2140677,2006
Oscar Wilde,Classics,272,Random House: Modern Library,4.10,The Picture of Dorian Gray,1196449,2004
Charlotte Brontë,Classics,532,Penguin,4.14,Jane Eyre,1846762,2003
J.K. Rowling,Fantasy,309,Scholastic Inc,4.48,Harry Potter and the Sorcerer's Stone,8483849,2003
Lewis Carroll,Classics,239,Penguin Group (USA),4.06,Alice's Adventures in Wonderland / Through the Looking-Glass,509050,2000
Ray Bradbury,Classics,194,Simon & Schuster,3.98,Fahrenheit 451,2012047,2011
Victor Hugo,Classics,1463,Penguin,4.19,Les Misérables,738631,1987
F. Scott Fitzgerald,Classics,180,Scribner,3.93,The Great Gatsby,4430535,2004
Veronica Roth,Young Adult,487,Katherine Tegen Books,4.16,Divergent,3423484,2012
Fyodor Dostoevsky,Classics,671,Penguin,4.24,Crime and Punishment,743759,2002
William Shakespeare,Classics,281,Washington Square Press,3.75,Romeo and Juliet,2314374,2002
Rick Riordan,Fantasy,377,Disney Hyperion Books,4.28,The Lightning Thief,2433181,2006
William Golding,Classics,182,Penguin Books,3.69,Lord of the Flies,2563280,1999
Antoine de Saint-Exupéry,Classics,96,"Harcourt, Inc.",4.32,The Little Prince,1717933,2000
Arthur Golden,Fiction,503,Vintage Books USA,4.13,Memoirs of a Geisha,1857053,2005
L.M. Montgomery,Classics,320,Signet Book,4.28,Anne of Green Gables,850901,2003
